,exercise,exercise_ts,rep_counter,good_form_pct
0,pullup,2021-03-14,25,74.75
1,pullup,2021-03-15,18,75.0
2,pullup,2021-03-16,21,83.0
3,pullup,2021-03-17,21,81.0
4,pullup,2021-03-19,20,86.33333333333333
5,pushup,2021-03-14,96,91.0
6,pushup,2021-03-16,18,73.5
7,pushup,2021-03-17,36,86.75
8,pushup,2021-03-18,18,92.5
9,pushup,2021-03-19,18,93.0
10,squat,2021-03-14,85,77.25
11,squat,2021-03-15,70,81.33333333333333
12,squat,2021-03-16,80,82.0
13,squat,2021-03-17,118,83.25
14,squat,2021-03-19,100,83.66666666666667
